id,bytes
1453,416515
1454,127486
1455,203034
1456,38629
1457,522845
1458,42427
1459,23026
146,372283
1460,342557
1461,536995
1462,77048
1463,368620
1464,158322
1465,87667
1466,376248
1467,138894
1468,1362398
1469,95167
147,128848
1470,496346
1471,183951
1472,179927
1473,582684
1474,87231
1475,23950
1476,778223
1477,386711
1478,132906
1479,598500
148,384969
1480,591862
1481,249912
1482,553808
1483,609484
1484,875352
1485,556032
1486,619071
1487,260197
1488,176652
1489,55329
149,235422
1490,307658
1491,228445
1492,342764
1493,726716
1494,640809
1495,391285
1496,90784
1497,1199950
1498,561275
1499,617663
15,1254302
150,715838
1500,132301
1501,151909
1502,147341
1503,177872
1504,89370
1505,90259
1506,150157
1507,121571
1508,125363
1509,103013
151,44188
1510,128809
1511,122863
1512,132231
1513,144501
1514,97792
1515,122743
1516,143231
1517,132025
1518,155100
1519,123987
152,376028
1520,120694
1521,154949
1522,117842
1523,128257
1524,180566
1525,2235
1526,117079
1527,119279
1528,159858
1529,136547
153,839115
1530,127472
1531,156322
1532,157642
1533,106466
1534,154388
1535,168487
1536,113243
1537,115975
1538,164291
1539,146519
154,734001
1540,100512
1541,145786
1542,147814
1543,15255
1544,18051
1545,79169
1546,7749
1547,122798
1548,101861
1549,504262
155,1094864
1550,479597
1551,72631
1552,713909
1553,78755
1554,110067
1555,50690
1556,310862
1557,405578
1558,515835
1559,717364
156,22089
1560,751172
1561,602790
1562,347764
1563,465046
1564,1239335
1565,886134
1566,423062
1567,64032
1568,187098
1569,597710
157,240704
1570,240302
1571,75671
1572,475665
1573,375793
1574,285870
1575,723565
1576,787515
1577,404037
1578,96735
1579,87758
158,897582
1580,143702
1581,5880420
1582,1242408
1583,380770
1584,87663
1585,342235
1586,1354355
1587,646346
1588,295063
1589,189002
159,249831
1590,412150
1591,176081
1592,381478
1593,30864
1594,356759
1595,467446
1596,257431
1597,303530
1598,136564
1599,129064
16,262846
160,365734
1600,200852
1601,663494
1602,369581
1603,312008
1604,283412
1605,336378
1606,1128936
1607,547016
1608,383432
1609,2406887
161,712924
1610,2317567
1611,418070
1612,70612
1613,368645
1614,197887
1615,747385
1616,326248
1617,246518
1618,48706
